Clave Ejercicio Academico	Clave Materia	Nombre Materia Largo	Nombre Campus	Crn	TipodeUdF
202311	AG2001B	Análisis de biosistemas productivos	Campus Querétaro	17928	Bloque
202311	AG2029	Fundamentación de biosistemas productivos	Campus Querétaro	17938	Materia
202311	BI2001B	Diseño de sistemas de bioinstrumentación analógica	Campus Ciudad de México	24413	Bloque
202311	BI2001B	Diseño de sistemas de bioinstrumentación analógica	Campus Ciudad de México	24414	Bloque
202311	BI2001B	Diseño de sistemas de bioinstrumentación analógica	Campus Guadalajara	15072	Bloque
202311	BI2001B	Diseño de sistemas de bioinstrumentación analógica	Campus Guadalajara	15073	Bloque
202311	BI2001B	Diseño de sistemas de bioinstrumentación analógica	Campus Monterrey	28180	Bloque
202311	BI2002B	Diseño de sistemas de bioinstrumentación digital	Campus Monterrey	28185	Bloque
202311	BI2002B	Diseño de sistemas de bioinstrumentación digital	Campus Monterrey	40477	Bloque
202311	BI2003B	Análisis químico, biológico y molecular	Campus Monterrey	40670	Bloque
202311	BI2007B	Análisis de sistemas de imagenología	Campus Ciudad de México	24425	Bloque
202311	BI2007B	Análisis de sistemas de imagenología	Campus Guadalajara	40968	Bloque
202311	BI2007B	Análisis de sistemas de imagenología	Campus Guadalajara	41144	Bloque
202311	BI2007B	Análisis de sistemas de imagenología	Campus Monterrey	37145	Bloque
202311	BI2007B	Análisis de sistemas de imagenología	Campus Monterrey	40840	Bloque
202311	BI2008B	Aplicación de la Ingeniería tisular y bioimpresión	Campus Ciudad de México	24428	Bloque
202311	BI2008B	Aplicación de la Ingeniería tisular y bioimpresión	Campus Monterrey	28198	Bloque
202311	BI2009B	Procesamiento de imágenes médicas para el diagnóstico	Campus Monterrey	28203	Bloque
202311	BI2010B	Diseño y desarrollo en neuroingeniería	Campus Guadalajara	40969	Bloque
202311	BI2010B	Diseño y desarrollo en neuroingeniería	Campus Monterrey	40559	Bloque
202311	BI2010B	Diseño y desarrollo en neuroingeniería	Campus Monterrey	40630	Bloque
202311	BI2011	Aplicación de tecnologías de la información en salud	Campus Monterrey	28219	Materia
202311	BI2011	Aplicación de tecnologías de la información en salud	Campus Monterrey	42379	Materia
202311	BI2011B	Implementación de ingeniería clínica	Campus Monterrey	28222	Bloque
202311	BI2011B	Implementación de ingeniería clínica	Campus Monterrey	37147	Bloque
202311	BI2012	Caracterización de biomateriales	Campus Monterrey	42248	Materia
202311	BI2012B	Análisis de la mecánica de biofluidos	Campus Guadalajara	41151	Bloque
